,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
,,,,,,,Australia,,Investor,Westpac Banking Corporation,,Responsible corporate engagement in climate policy,,/company/westpac-banking-corporation,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Aerospace and Defense,France,,Company,Thales,,Responsible corporate engagement in climate policy,,/company/thales,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders",Australia,,Company,Infigen Energy,,Responsible corporate engagement in climate policy,,/company/infigen-energy,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Oil and Gas,South Africa,,Company,Sasol,,Responsible corporate engagement in climate policy,,/company/sasol,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders",Spain,,Company,Iberdrola SA,,Responsible corporate engagement in climate policy,,/company/iberdrola-sa,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,France,,Investor,BNP Paribas,,Responsible corporate engagement in climate policy,,/company/bnp-paribas,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Staples Retailing,United Kingdom of Great Britain and Northern Ireland,,Company,Tesco,,Responsible corporate engagement in climate policy,,/company/tesco,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Oil and Gas,Spain,,Company,"Compañía Española de Petróleos, S.A.U. CEPSA",,Responsible corporate engagement in climate policy,,"/company/compania-espanola-de-petroleos,-s-a-u-cepsa",,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,United Kingdom of Great Britain and Northern Ireland,,Company,Vodafone Group,,Responsible corporate engagement in climate policy,,/company/vodafone-group,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders",United Kingdom of Great Britain and Northern Ireland,,Company,SSE,,Responsible corporate engagement in climate policy,,/company/sse,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Water Transportation,China,,Company,China Rilin Industrial Group Co. Ltd.,,Responsible corporate engagement in climate policy,,/company/china-rilin-industrial-group-co-ltd-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
