name,entity_type,constituency,coordinator,city,country
Carbon Tracker Initiative Limited,Non-governmental organizations,Constituency - Business and Industry,Ms. Margherita Gagliardi,London,United Kingdom of Great Britain and Northern Ireland
CarbonCare InnoLab Limited,Non-governmental organizations,Constituency - Environmental,Ms. Debby Yi Yi Cheng,Hong Kong,China
Carbonfund.org,Non-governmental organizations,Constituency - Environmental,Mr. Brian McFarland,Washington,United States of America
"Foundation, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Brian McFarland,Washington,United States of America
Cardiff University,Non-governmental organizations,Constituency - Research and independent,Ms. Hannah Rachel Hughes,Cardiff,United Kingdom of Great Britain and Northern Ireland
"Care About Climate, Inc",Non-governmental organizations,Constituency - Environmental,Ms. Natalie Lucas,Flagstaff,United States of America
CARE International,Non-governmental organizations,Constituency - Environmental CAN,Mr. Sven Harmeling,Copenhagen N,Denmark
"Care of Creation, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Brian Webb,Madison,United States of America
Caritas Internationalis,Non-governmental organizations,Constituency - Research and independent,Ms. Martina Liebsch,Citta del Vaticano,Holy See
Carnegie Council for Ethics in International Affairs Inc.,Non-governmental organizations,Constituency - Research and independent,Mr. Joel Rosenthal,New York,United States of America
Carnegie Endowment for International Peace,Non-governmental organizations,Constituency - Research and independent,Mr. Thomas Carothers,Washington,United States of America
Carnegie Mellon University,Non-governmental organizations,Constituency - Research and independent,Ms. Anna Jamell Siefken,Pittsburgh,United States of America
Carre Geo & Environnement,Non-governmental organizations,Constituency - Environmental CAN,Mr. Ibrahim Mfondoun Mbamoko,Douala,Cameroon
Catholic Rural Youth Movement Germany e.V.,Non-governmental organizations,Constituency - Youth,Ms. Julia Wäger,Bad Honnef,Germany
Catholic Youth Network for Environmental Sustainability in Africa,Non-governmental organizations,Constituency - Youth,Mr. David Munene,Nairobi,Kenya
CBM UK,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Yukara Weekes,Cambridge,United Kingdom of Great Britain and Northern Ireland
CDP Worldwide,Non-governmental organizations,Constituency - Business and Industry,Ms. Jennifer Gleed,London,United Kingdom of Great Britain and Northern Ireland
CECODHAS - European Liaison Committee for Social Housing,Non-governmental organizations,Constituency - Research and independent,Ms. Alice Pittini,Brussels,Belgium
CEE Bankwatch Network,Non-governmental organizations,Constituency - Environmental,Mr. Petr Hlobil,Prague 9,Czechia
Center for American Progress,Non-governmental organizations,Constituency - Research and independent,Ms. Frances Colon,Washington,United States of America
Center for Biological Diversity,Non-governmental organizations,Constituency - Environmental CAN,Ms. Andrea Weber,Tucson,United States of America
Center for Carbon Removal,Non-governmental organizations,Constituency - Environmental,Mr. Noah Deich,Berkeley,United States of America
Center for Clean Air Policy,Non-governmental organizations,Constituency - Research and independent,Ms. Margarita Cabrera Botero,Washington D.C,United States of America
Center for Climate and Energy Solutions,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Huang,Arlington,United States of America
"Center for Energy, Environment, and Development",Non-governmental organizations,Constituency - Research and independent,Ms. Avril De Torres,Quezon City,Philippines
Center for Environmental Concerns,Non-governmental organizations,Constituency - Environmental CJN,Ms. Lia Mai Alonzo,Quezon City,Philippines
"Center for Environmental Information, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Elizabeth Thorndike,Rochester,United States of America
Center for Indigenous Peoples’ Research and Development,Non-governmental organizations,,,,
Center for International Climate and Environmental Research,Non-governmental organizations,Constituency - Research and independent,Mr. Christian Bjornaes,Oslo,Norway
